STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,TIME_PERIOD,Time,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-2,Nanumanga,2017,2017,4.1,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS,Samoa,2016,2016,3.8,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS-2,North West Upolu,2016,2016,17222,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS-4,Savaii,2016,2016,13767,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-5,Vaitupu,2017,2017,1195,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-7,Funafuti,2017,2017,6716,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-9,Niulakita,2017,2017,43,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS-1,Apia Urban Area,2016,2016,37391,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS-1,Apia Urban Area,2016,2016,4.4,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-2,Sanma,2016,2016,10704,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,NC-1,Loyalty Islands,2019,2019,18353,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TK-2,Fakaofo,2016,2016,484,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TO-2,'Eua,2016,2016,4945,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WF-5,Hahake,2018,2018,3415,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TO-3,Niuas,2016,2016,4.5,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-1,Nanumea,2017,2017,4.8,,N,units,,,,,,,,
